rownames	cd14_sample1	cd14_sample2	cd4_sample1	cd4_sample2	cd14_sample3	cd14_sample4	cd14_sample5	cd14_sample6	cd4_sample3	cd4_sample4	cd4_sample5	cd4_sample6
subset	CD14	CD14	CD4	CD4	CD14	CD14	CD14	CD14	CD4	CD4	CD4	CD4
A1BG	23	300	72	146	1,369	356	354	317	232	174	198	177
A1BG-AS1	35	28	3	43	67	19	25	37	57	12	24	45
A1CF	42	1	138	3	0	8	24	0	4	0	0	12
A2M	22	8	34	105	0	24	0	0	13	19	55	27
A2M-AS1	34	123	150	168	0	12	124	35	149	16	225	194
A2ML1	9	1	45	5	0	0	15	1	2	0	3	6
A2MP1	0	0	1	1	0	0	0	0	4	2	15	1
A3GALT2	0	0	0	0	0	0	4	0	0	0	0	0
A4GALT	0	0	0	0	0	3	0	0	0	0	0	0
A4GNT	9	0	3	0	0	0	0	0	3	0	0	2
AA06	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	741	1,137	552	845	1,411	1,620	1,769	1,952	1,983	2,391	2,387	2,121
AACS	326	11	199	147	954	515	252	429	649	916	773	360
AACSP1	3	0	4	1	0	0	3	0	0	1	0	1
AADAC	46	0	44	1	0	0	0	2	4	16	0	5
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	16	0	22	2	0	2	0	1	1	0	2	7
AADACL3	35	0	0	0	0	0	0	0	2	8	0	0
AADACL4	1	0	0	5	0	0	0	0	0	0	4	0
AADACP1	10	0	37	2	0	0	5	10	14	9	2	7
AADAT	0	0	0	0	0	0	0	0	0	0	0	2
AAED1	139	173	31	45	768	532	997	777	185	189	348	289
AAGAB	1,009	1,484	1,058	1,038	2,077	3,422	2,297	2,295	2,621	2,186	2,683	2,306
AAK1	956	1,830	4,102	5,863	3,015	1,770	884	1,635	4,758	4,267	5,651	6,696
AAMDC	183	137	81	49	495	414	348	439	142	152	201	207
AAMP	1,851	2,910	394	1,175	7,562	6,069	6,908	6,604	4,932	3,969	3,687	3,982
AANAT	7	12	14	1	3	6	16	6	9	2	2	4
AAR2	755	1,357	1,034	491	4,757	3,622	3,222	2,408	3,215	2,758	2,067	2,116
AARD	1	0	8	1	3	3	0	0	3	2	1	4
AARS	719	5	1,700	1,397	926	1,428	1,853	1,607	2,769	5,459	2,881	2,530
